@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2'

@attribute id numeric
@attribute type {review,title}
@attribute rating numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute product_name {'crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','fake dog lucy poop d','mega man amiibo supe','skip hop zoo toddler','rhode island novelty','remo kd-0500-01 kids','prismacolor premier ','infant optics dxr-8 ','thermopro tp50 digit'}

@data
97,review,4,0.352703,0.647297,0,0.098649,0.008108,0.078378,0.016216,0.051351,0.004054,'dymo labelmanager 28'
97,title,4,0.125,0.875,0,0.25,0,0.125,0,0.375,0,'dymo labelmanager 28'
98,review,5,0.425532,0.574468,0,0.165957,0.012766,0.119149,0.034043,0.080851,0.008511,'dymo labelmanager 28'
98,title,5,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,'dymo labelmanager 28'
99,review,5,0.319149,0.680851,0,0.12766,0.021277,0.170213,0.106383,0.042553,0.042553,'dymo labelmanager 28'
99,title,5,0.333333,0.666667,0,0.166667,0.166667,0.166667,0,0.333333,0,'dymo labelmanager 28'
100,review,5,0.422535,0.577465,0,0.15493,0.021127,0.15493,0.042254,0.091549,0,'dymo labelmanager 28'
100,title,5,0.25,0.75,0,0.25,0,0,0,0.25,0,'dymo labelmanager 28'
101,review,5,0.460094,0.539906,0,0.112676,0.018779,0.131455,0.032864,0.089202,0.00939,'dymo labelmanager 28'
101,title,5,0.545455,0.454545,0,0.181818,0.090909,0.181818,0.090909,0,0,'dymo labelmanager 28'
102,review,5,0.345455,0.654545,0,0.163636,0.018182,0.181818,0.036364,0.090909,0.018182,'the crystal bible'
102,title,5,0,1,0,0.333333,0,0,0,0.333333,0,'the crystal bible'
103,review,1,0.458333,0.541667,0,0.166667,0.041667,0.208333,0.083333,0.083333,0.041667,'the crystal bible'
103,title,1,0.545455,0.454545,0,0.181818,0,0.090909,0.090909,0.090909,0,'the crystal bible'
104,review,2,0.558824,0.441176,0,0.132353,0.014706,0.161765,0.073529,0.073529,0,'the crystal bible'
104,title,2,0.333333,0.666667,0,0.333333,0,0,0,0,0,'the crystal bible'
105,review,5,0.46729,0.53271,0,0.158879,0.037383,0.140187,0.028037,0.11215,0,'the crystal bible'
105,title,5,0.333333,0.666667,0,0,0,0.166667,0.166667,0.166667,0,'the crystal bible'
106,review,5,0.463636,0.536364,0,0.118182,0.018182,0.172727,0.063636,0.054545,0.009091,'the crystal bible'
106,title,5,0.636364,0.363636,0,0.272727,0,0.181818,0.090909,0,0,'the crystal bible'
107,review,5,0.512195,0.487805,0,0.134146,0.02439,0.195122,0.036585,0.109756,0.012195,'the crystal bible'
107,title,5,0,1,0,0.5,0,0,0,0.5,0,'the crystal bible'
108,review,3,0.441176,0.558824,0,0.107843,0.029412,0.127451,0.098039,0.058824,0,'the crystal bible'
108,title,3,0.25,0.75,0,0,0,0.25,0,0.25,0,'the crystal bible'
109,review,5,0.4375,0.5625,0,0.151042,0.020833,0.119792,0.020833,0.057292,0.005208,'the crystal bible'
109,title,5,0.285714,0.714286,0,0.142857,0.142857,0.142857,0,0.285714,0,'the crystal bible'
110,review,5,0.464164,0.535836,0,0.133106,0.017065,0.156997,0.051195,0.061433,0.006826,'cuisinart mcp193-18n'
110,title,5,0,1,0,0.333333,0,0,0,0.333333,0,'cuisinart mcp193-18n'
111,review,5,0.400631,0.599369,0,0.154574,0.028391,0.14511,0.037855,0.07571,0.012618,'cuisinart mcp193-18n'
111,title,5,0.666667,0.333333,0,0.133333,0.066667,0.133333,0,0.066667,0,'cuisinart mcp193-18n'
112,review,5,0.375,0.625,0,0.107456,0.010965,0.125,0.046053,0.048246,0.008772,'cuisinart mcp193-18n'
112,title,5,0,1,0,0.5,0,0,0,0.5,0,'cuisinart mcp193-18n'
113,review,4,0.4,0.6,0,0.2,0.025,0.1125,0.0875,0.0875,0.025,'viviscal extra stren'
113,title,4,0.333333,0.666667,0,0.333333,0,0.333333,0,0.333333,0,'viviscal extra stren'
114,review,1,0.436137,0.563863,0,0.121495,0.015576,0.109034,0.049844,0.074766,0.009346,'viviscal extra stren'
114,title,1,0.428571,0.571429,0,0.142857,0,0.142857,0.071429,0.285714,0,'viviscal extra stren'
115,review,1,0.462264,0.537736,0,0.179245,0.018868,0.160377,0.056604,0.066038,0,'viviscal extra stren'
115,title,1,0.25,0.75,0,0.5,0,0,0,0.25,0,'viviscal extra stren'
116,review,1,0.388889,0.611111,0,0.144444,0.044444,0.166667,0.044444,0.088889,0.022222,'viviscal extra stren'
116,title,1,0.2,0.8,0,0.3,0,0.2,0.1,0.1,0,'viviscal extra stren'
117,review,3,0.429395,0.570605,0,0.132565,0.020173,0.112392,0.040346,0.063401,0.002882,'viviscal extra stren'
117,title,3,0.466667,0.533333,0,0.133333,0.133333,0.2,0.066667,0.066667,0,'viviscal extra stren'
118,review,1,0.459016,0.540984,0,0.196721,0.016393,0.196721,0.098361,0.098361,0.032787,'viviscal extra stren'
118,title,1,0,1,0,0.333333,0,0.333333,0,0.333333,0,'viviscal extra stren'
119,review,5,0.424658,0.575342,0,0.109589,0.054795,0.164384,0.068493,0.068493,0.027397,'fake dog lucy poop d'
119,title,5,0.2,0.8,0,0.3,0,0,0.1,0,0,'fake dog lucy poop d'
120,review,5,0.318182,0.681818,0,0.090909,0.090909,0.181818,0.090909,0.181818,0,'fake dog lucy poop d'
120,title,5,0,1,0,0.5,0,0,0,0,0,'fake dog lucy poop d'
121,review,4,0.25,0.75,0,0.375,0,0.125,0.0625,0.0625,0,'fake dog lucy poop d'
121,title,4,0,1,0,0.5,0,0,0,0,0,'fake dog lucy poop d'
122,review,5,0.4,0.6,0,0.142857,0.057143,0.285714,0,0.085714,0,'fake dog lucy poop d'
122,title,5,0,1,0,0,0,0,0,1,0,'fake dog lucy poop d'
123,review,5,0.34,0.66,0,0.16,0.06,0.12,0.06,0.08,0,'fake dog lucy poop d'
123,title,5,0,1,0,0.2,0,0,0,0.2,0,'fake dog lucy poop d'
124,review,5,0.421053,0.578947,0,0.210526,0.105263,0.210526,0,0.157895,0,'fake dog lucy poop d'
124,title,5,0,1,0,0.5,0,0,0,0,0,'fake dog lucy poop d'
125,review,5,0.4,0.6,0,0.2,0.1,0.2,0.1,0.1,0,'fake dog lucy poop d'
125,title,5,0,1,0,0.5,0,0,0,0.5,0,'fake dog lucy poop d'
126,review,5,0.434783,0.565217,0,0.130435,0.173913,0.217391,0.086957,0.086957,0,'fake dog lucy poop d'
126,title,5,0.363636,0.636364,0,0.090909,0.181818,0.272727,0.181818,0.090909,0,'fake dog lucy poop d'
127,review,5,0.514019,0.485981,0,0.130841,0.074766,0.17757,0.037383,0.093458,0.028037,'mega man amiibo supe'
127,title,5,0.4,0.6,0,0.2,0.2,0.2,0,0.2,0,'mega man amiibo supe'
128,review,1,0.4,0.6,0,0.333333,0.066667,0.133333,0.066667,0.133333,0,'mega man amiibo supe'
128,title,1,0,1,0,0.5,0,0,0,0,0,'mega man amiibo supe'
129,review,5,0.249139,0.750861,0,0.126292,0.011481,0.057405,0.020666,0.06659,0.001148,'mega man amiibo supe'
129,title,5,0.333333,0.666667,0,0.444444,0,0,0,0.111111,0,'mega man amiibo supe'
130,review,1,0.285714,0.714286,0,0,0,0.285714,0.142857,0.285714,0,'mega man amiibo supe'
130,title,1,0,1,0,0.5,0,0,0,0,0,'mega man amiibo supe'
131,review,1,0.492308,0.507692,0,0.146154,0.015385,0.076923,0.092308,0.038462,0.015385,'mega man amiibo supe'
131,title,1,0.363636,0.636364,0,0.363636,0,0.272727,0,0,0,'mega man amiibo supe'
132,review,4,0.563218,0.436782,0,0.091954,0.028736,0.137931,0.063218,0.08046,0.011494,'mega man amiibo supe'
132,title,4,0.5,0.5,0,0.1,0,0.2,0.1,0.1,0.1,'mega man amiibo supe'
133,review,4,0.471698,0.528302,0,0.144654,0.018868,0.106918,0.050314,0.062893,0.006289,'mega man amiibo supe'
133,title,4,0.5,0.5,0,0,0,0,0.5,0.5,0,'mega man amiibo supe'
134,review,4,0.49697,0.50303,0,0.163636,0.042424,0.109091,0.066667,0.054545,0,'mega man amiibo supe'
134,title,4,0.571429,0.428571,0,0,0.142857,0.285714,0.285714,0.142857,0,'mega man amiibo supe'
135,review,5,0.483871,0.516129,0,0.258065,0.129032,0.129032,0,0.032258,0,'skip hop zoo toddler'
135,title,5,0.5,0.5,0,0.285714,0.214286,0.142857,0,0,0,'skip hop zoo toddler'
136,review,5,0.381988,0.618012,0,0.189441,0.012422,0.108696,0.074534,0.071429,0.009317,'skip hop zoo toddler'
136,title,5,0.416667,0.583333,0,0.25,0.083333,0.083333,0.083333,0.083333,0,'skip hop zoo toddler'
137,review,4,0.496894,0.503106,0,0.136646,0.049689,0.136646,0.062112,0.10559,0.006211,'skip hop zoo toddler'
137,title,4,0.5,0.5,0,0.375,0,0,0.125,0,0,'skip hop zoo toddler'
138,review,3,0.423729,0.576271,0,0.161017,0.033898,0.194915,0.076271,0.042373,0,'skip hop zoo toddler'
138,title,3,0,1,0,0.333333,0,0.666667,0,0,0,'skip hop zoo toddler'
139,review,5,0,0,0,0,0,0,0,0,0,'skip hop zoo toddler'
139,title,5,0,1,0,0.5,0,0,0,0,0,'skip hop zoo toddler'
140,review,4,0.450216,0.549784,0,0.160173,0.021645,0.108225,0.064935,0.073593,0,'skip hop zoo toddler'
140,title,4,0.4,0.6,0,0.1,0.1,0.1,0,0.3,0,'skip hop zoo toddler'
141,review,5,0.428571,0.571429,0,0.238095,0.142857,0.142857,0.047619,0.095238,0,'skip hop zoo toddler'
141,title,5,0.25,0.75,0,0.25,0,0,0,0.5,0,'skip hop zoo toddler'
142,review,5,0.406015,0.593985,0,0.210526,0.052632,0.090226,0.052632,0.075188,0,'skip hop zoo toddler'
142,title,5,0.333333,0.666667,0,0,0,0,0,0.666667,0,'skip hop zoo toddler'
143,review,5,0.4,0.6,0,0.146667,0.066667,0.173333,0.04,0.066667,0.013333,'rhode island novelty'
143,title,5,0.545455,0.454545,0,0.181818,0.090909,0.181818,0,0.181818,0,'rhode island novelty'
144,review,5,0.4,0.6,0,0.157143,0.028571,0.15,0.042857,0.078571,0,'rhode island novelty'
144,title,5,0.2,0.8,0,0.6,0,0,0,0.2,0,'rhode island novelty'
145,review,4,0.480519,0.519481,0,0.155844,0.077922,0.12987,0.038961,0.090909,0.012987,'rhode island novelty'
145,title,4,0.2,0.8,0,0.5,0.1,0,0,0.1,0,'rhode island novelty'
146,review,5,0.531915,0.468085,0,0.085106,0.106383,0.212766,0.042553,0.06383,0.021277,'rhode island novelty'
146,title,5,0.5,0.5,0,0.0625,0.1875,0.1875,0.125,0.0625,0.0625,'rhode island novelty'
147,review,5,0.471698,0.528302,0,0.169811,0.09434,0.169811,0.075472,0.075472,0.018868,'rhode island novelty'
147,title,5,0.2,0.8,0,0.4,0,0,0,0.4,0,'rhode island novelty'
148,review,5,0.45,0.55,0,0.225,0.05,0.175,0.025,0.05,0,'rhode island novelty'
148,title,5,0,1,0,0.666667,0,0,0,0.333333,0,'rhode island novelty'
149,review,5,0.409091,0.590909,0,0.125,0.056818,0.204545,0.056818,0.045455,0.011364,'rhode island novelty'
149,title,5,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,'rhode island novelty'
150,review,4,0.361905,0.638095,0,0.152381,0.019048,0.161905,0.095238,0.142857,0.009524,'rhode island novelty'
150,title,4,0,1,0,0.333333,0,0.333333,0,0.333333,0,'rhode island novelty'
151,review,5,0.374194,0.625806,0,0.122581,0.006452,0.090323,0.058065,0.077419,0.006452,'remo kd-0500-01 kids'
151,title,5,0.5,0.5,0,0.166667,0.166667,0.166667,0,0,0.166667,'remo kd-0500-01 kids'
152,review,5,0.421986,0.578014,0,0.148936,0.024823,0.138298,0.070922,0.056738,0.007092,'remo kd-0500-01 kids'
152,title,5,0,1,0,0.666667,0,0.333333,0,0,0,'remo kd-0500-01 kids'
