@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
title,3,0.333333,0.666667,0,0.666667,0,0,0,0,0,0.666667,'\'B2of2\''
title,3,0.333333,0.666667,0,0,0,0.333333,0.333333,0,0,0,'\'B1of2\''
review,33,0.393939,0.606061,0,0.151515,0.030303,0.30303,0.030303,0.060606,0,0.424242,'\'B1of2\''
title,2,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,'\'B1of2\''
review,6,0.333333,0.666667,0,0.5,0,0.166667,0,0,0,0.833333,'\'B2of2\''
review,22,0.636364,0.363636,0,0.181818,0.090909,0.181818,0.090909,0.136364,0,0.681818,'\'B2of2\''
title,10,0.6,0.4,0,0.2,0.2,0.2,0.2,0,0,0.7,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,5,0.4,0.6,0,0.2,0,0.4,0,0,0,0.8,'\'B1of2\''
title,3,0.666667,0.333333,0,0,0.333333,0.333333,0,0,0,0.666667,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,48,0.354167,0.645833,0,0.25,0.020833,0.1875,0.083333,0.125,0.020833,0.645833,'\'B1of2\''
review,46,0.5,0.5,0,0.173913,0.043478,0.195652,0.021739,0.065217,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,18,0.611111,0.388889,0,0.222222,0.055556,0.222222,0,0.111111,0,0.722222,'\'B1of2\''
title,5,0.4,0.6,0,0,0.2,0.4,0,0.2,0,0.8,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B1of2\''
review,6,0.166667,0.833333,0,0.833333,0,0,0,0,0,1,'\'B2of2\''
review,9,0.666667,0.333333,0,0.222222,0.333333,0.222222,0,0,0,0.777778,'\'B2of2\''
title,5,0.6,0.4,0,0.2,0,0.4,0.2,0,0,0.6,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,23,0.391304,0.608696,0,0.173913,0.043478,0.217391,0.086957,0.217391,0,0.73913,'\'B1of2\''
title,4,0.25,0.75,0,0.25,0,0.25,0.25,0,0,0.5,'\'B1of2\''
title,12,0.583333,0.416667,0,0.166667,0,0.25,0.166667,0.083333,0,0.583333,'\'B2of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B1of2\''
review,17,0.411765,0.588235,0,0.352941,0,0.117647,0,0.235294,0,0.764706,'\'B2of2\''
review,27,0.666667,0.333333,0,0.222222,0.185185,0.185185,0,0,0,0.666667,'\'B2of2\''
title,2,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,'\'B2of2\''
review,15,0.333333,0.666667,0,0.266667,0.066667,0.133333,0,0.133333,0,0.733333,'\'B1of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
