@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,8,9,10,11,12'

@attribute 'stop_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
0.333333,0,0.666667,0.333333,0,0,0.333333,'\'B1of2\''
0.5,0,0,0.125,0.25,0,0.5,'\'B2of2\''
0.52,0.04,0.28,0.08,0.08,0.04,0.52,'\'B1of2\''
0.166667,0,0.166667,0,0.166667,0,0.666667,'\'B1of2\''
0,0,0,0,0.5,0,1,'\'B1of2\''
0.6,0.1,0.2,0.1,0,0,0.6,'\'B1of2\''
0.384615,0.076923,0.153846,0.230769,0.076923,0,0.307692,'\'B1of2\''
0.555556,0.111111,0.222222,0,0,0,0.666667,'\'B1of2\''
0.525,0.05,0.225,0.075,0.025,0.025,0.575,'\'B1of2\''
0.529412,0.058824,0.176471,0.176471,0.058824,0,0.588235,'\'B1of2\''
0.391304,0,0.086957,0.173913,0.130435,0,0.521739,'\'B1of2\''
0.555556,0.111111,0.111111,0,0.111111,0,0.555556,'\'B1of2\''
0.444444,0.222222,0.111111,0,0,0,0.777778,'\'B2of2\''
0.285714,0.142857,0.142857,0.142857,0,0,1,'\'B2of2\''
0.333333,0,0,0,0.333333,0,0.833333,'\'B1of2\''
0.478261,0.130435,0.173913,0,0.043478,0,0.73913,'\'B2of2\''
0,0,0.2,0.2,0.2,0,0.8,'\'B2of2\''
0.428571,0.02381,0.214286,0.047619,0.071429,0,0.52381,'\'B1of2\''
0.454545,0.090909,0.363636,0.090909,0.090909,0,0.727273,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.575758,0.121212,0.212121,0.030303,0.090909,0,0.636364,'\'B1of2\''
0.5,0,0.25,0.25,0.25,0,0.25,'\'B2of2\''
0.444444,0,0.333333,0.222222,0.111111,0,0.666667,'\'B2of2\''
0.5,0,0,0.25,0,0,0.5,'\'B1of2\''
0.615385,0,0.153846,0.076923,0.076923,0,0.538462,'\'B1of2\''
0.416667,0.083333,0.25,0,0,0,0.916667,'\'B1of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0.333333,0,0,0,0,0,0.666667,'\'B2of2\''
0,0,0,0.5,0.5,0,0.5,'\'B2of2\''
0.285714,0,0.142857,0.142857,0,0,0.714286,'\'B1of2\''
0.666667,0.666667,0.333333,0,0,0,1,'\'B2of2\''
0,0,0,0,0,0,1,'\'B2of2\''
0.5,0,0.5,0,0,0,0.5,'\'B1of2\''
0.434783,0.086957,0.217391,0,0.130435,0,0.478261,'\'B2of2\''
0.482143,0.017857,0.196429,0.071429,0.044643,0,0.348214,'\'B1of2\''
