@relation 'parseResultFiles\\smart_review_data.arff-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'crosley cr8005a-tu cruiser portable 3-speed turntable turquoise','cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover','dymo labelmanager 280 rechargeable hand-held label maker (1815990)','everydrop by whirlpool refrigerator water filter 1 (pack of 1)','iron gym total upper body workout bar','jbl clip 2 waterproof portable bluetooth speaker (teal)','motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging','ninja professional blender (bl610)','oster cordless electric wine bottle opener with foil cutter ffp','rolodex deep desk drawer organizer metal mesh black (22131)','samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)','set of ten finger hands finger puppets','the crystal bible','uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)','viviscal extra strength hair nutrient tablets 90-tablets'}
@attribute type {review,title}
@attribute stop_p numeric
@attribute meaning_p numeric
@attribute proper_noun_p numeric
@attribute noun_p numeric
@attribute pronoun_p numeric
@attribute verb_p numeric
@attribute adverb_p numeric
@attribute adjective_p numeric
@attribute wh-word_p numeric
@attribute rating {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}

@data
83,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',review,0.383607,0.616393,0,0.111475,0.014754,0.116393,0.044262,0.05082,0.004918,'\'B5of5\''
83,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',title,0.285714,0.714286,0,0.142857,0.071429,0.357143,0.071429,0.142857,0,'\'B5of5\''
84,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',review,0.496403,0.503597,0,0.107914,0.043165,0.172662,0.107914,0.064748,0.021583,'\'B5of5\''
84,'uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)',title,0.5,0.5,0,0.166667,0.083333,0.166667,0.25,0.083333,0.083333,'\'B5of5\''
85,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.483607,0.516393,0,0.122951,0.016393,0.172131,0.04918,0.065574,0.016393,'\'B5of5\''
85,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0,1,0,0.5,0,0,0,0.5,0,'\'B5of5\''
86,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.349794,0.650206,0.00823,0.168724,0.004115,0.144033,0.069959,0.057613,0.012346,'\'B1of5\''
86,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.2,0.8,0.05,0.25,0,0.1,0.1,0.2,0,'\'B1of5\''
87,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.435897,0.564103,0,0.128205,0.012821,0.192308,0.076923,0.064103,0.012821,'\'B1of5\''
87,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.5,0.5,0,0.25,0,0.125,0.125,0.125,0,'\'B1of5\''
88,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.483871,0.516129,0,0.169355,0.056452,0.137097,0.048387,0.072581,0,'\'B5of5\''
88,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.555556,0.444444,0,0.111111,0.111111,0.222222,0.111111,0.111111,0,'\'B5of5\''
89,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.342466,0.657534,0,0.150685,0,0.205479,0.054795,0.041096,0.013699,'\'B5of5\''
89,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.142857,0.857143,0,0.428571,0,0,0,0.142857,0,'\'B5of5\''
90,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.452381,0.547619,0,0.113095,0.017857,0.119048,0.059524,0.071429,0.005952,'\'B5of5\''
90,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.166667,0.833333,0,0.666667,0,0,0,0.166667,0,'\'B5of5\''
91,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.420561,0.579439,0,0.186916,0.037383,0.168224,0.056075,0.074766,0.009346,'\'B1of5\''
91,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0,1,0,0.333333,0,0,0,0.333333,0,'\'B1of5\''
92,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',review,0.417476,0.582524,0,0.184466,0.029126,0.126214,0.038835,0.07767,0.009709,'\'B4of5\''
92,'everydrop by whirlpool refrigerator water filter 1 (pack of 1)',title,0.25,0.75,0,0.25,0,0.125,0.125,0.125,0,'\'B4of5\''
93,'iron gym total upper body workout bar',review,0.460317,0.539683,0,0.253968,0.015873,0.111111,0.047619,0.031746,0,'\'B5of5\''
93,'iron gym total upper body workout bar',title,0.142857,0.857143,0,0.285714,0,0,0,0.285714,0,'\'B5of5\''
94,'iron gym total upper body workout bar',review,0.444444,0.555556,0,0.194444,0.027778,0.194444,0.097222,0.027778,0.013889,'\'B3of5\''
94,'iron gym total upper body workout bar',title,0.363636,0.636364,0,0.181818,0,0.181818,0.181818,0,0,'\'B3of5\''
95,'iron gym total upper body workout bar',review,0.414286,0.585714,0,0.128571,0.042857,0.185714,0.085714,0.042857,0.028571,'\'B4of5\''
95,'iron gym total upper body workout bar',title,0.166667,0.833333,0,0.333333,0,0.166667,0.166667,0,0,'\'B4of5\''
96,'iron gym total upper body workout bar',review,0.46696,0.53304,0,0.15859,0.022026,0.140969,0.039648,0.066079,0.013216,'\'B4of5\''
